Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.008476, 0.0024558, 0.00601396, 6.356e-05, 17847, 10569, 2754
0.00242536, 0.00125154, 0.00117284, 7.322e-06, 17848, 10369, 513
0.00295145, 0.00140414, 0.00154577, 4.809e-06, 17890, 10456, 243
0.00104068, 0.000697859, 0.000342514, 1.91e-06, 17892, 10539, 189
0.000937224, 0.000614506, 0.00032218, 2.142e-06, 17852, 10473, 216
0.000938378, 0.000658919, 0.000278907, 1.297e-06, 17884, 10681, 108
0.000915955, 0.000694901, 0.000220648, 2.33e-06, 17896, 10337, 216
0.000953549, 0.000668065, 0.000284955, 0, 17791, 10465, 0
0.000935991, 0.000710625, 0.000224948, 8.46e-07, 17847, 10564, 54
0.000873476, 0.000690476, 0.000182634, 8.05e-07, 17874, 10637, 81
0.000858369, 0.00066737, 0.000190507, 1.114e-06, 17864, 10391, 81
0.000863188, 0.000681626, 0.000181129, 7.71e-07, 17875, 10407, 54
0.000851077, 0.00068817, 0.000162579, 7.6e-07, 17855, 10495, 54
0.000832057, 0.000673417, 0.000158216, 4.63e-07, 17862, 10494, 27
0.000857144, 0.000692932, 0.000163875, 4.72e-07, 17876, 10489, 27
0.000848433, 0.000673584, 0.000174329, 0, 17852, 10581, 0
0.000880805, 0.000691326, 0.00018898, 0, 17887, 10681, 0
0.000749555, 0.000625515, 0.000122938, 0, 17835, 10060, 0
0.000874948, 0.00070831, 0.000166262, 0, 17918, 10292, 0
0.000822791, 0.000673117, 0.000149085, 5.768e-06, 17853, 10426, 27
0.00141135, 0.00115067, 0.000260072, 0, 17865, 10319, 0
0.00105404, 0.000858626, 0.000194058, 0, 17859, 10369, 0
0.000792018, 0.000655053, 0.000136426, 0, 17845, 10618, 0
0.000781411, 0.000659004, 0.000122028, 0, 17857, 10107, 0
0.000798758, 0.000659196, 0.000139234, 4.36e-07, 17871, 10553, 27
0.000813944, 0.000656027, 0.00015727, 8.04e-07, 17862, 10570, 54
0.000811506, 0.000678923, 0.000132061, 0, 17827, 10567, 0
0.000810967, 0.000654514, 0.000156088, 8.52e-07, 17867, 10742, 54
0.000789639, 0.000637549, 0.00015168, 6.39e-07, 17826, 10481, 54
0.00083019, 0.000698705, 0.000130935, 0, 17893, 10402, 0
0.00079473, 0.000629168, 0.000165143, 6.62e-07, 17840, 10345, 54
0.00106319, 0.00089932, 0.000163391, 0, 17902, 10451, 0
0.000776469, 0.000646145, 0.000129592, 0, 17823, 10528, 0
0.00223122, 0.00188405, 0.000346085, 1.646e-06, 17852, 10337, 54
0.00214922, 0.00184817, 0.000299557, 9.72e-07, 17840, 10567, 27
0.00277724, 0.00239231, 0.000381627, 1.581e-06, 17824, 10608, 54
0.00101405, 0.000858768, 0.000154781, 0, 17850, 10303, 0
0.000767593, 0.000641075, 0.00012583, 0, 17860, 10363, 0
0.00221064, 0.00188258, 0.000326074, 0, 17865, 10254, 0
0.00235657, 0.00199104, 0.000363374, 0, 17872, 10840, 0
0.00237386, 0.00201937, 0.000352713, 0, 17868, 10200, 0
0.00175947, 0.00149976, 0.000258864, 1.538e-06, 17855, 10692, 81
0.000770214, 0.000649204, 0.000120399, 0, 17869, 10500, 0
0.00155761, 0.001284, 0.000272332, 7.4e-07, 17910, 10689, 27
